"UEI","Start Date","End Date","Duration(Days)","Main Cause","Location","Districts","State","Latitude","Longitude","Severity","Area Affected","Human fatality","Human injured","Human Displaced","Animal Fatality","Description of Casualties/injured","Extent of damage ","Event Source","Event Souce ID"
"UEI-DFO-FL-1985-0001","1985-06-23","1985-06-27","4","Heavy rain","","","","14.5398","75.0937","1","254234.6","95","","25000","","","","DFO","27"
"UEI-DFO-FL-1985-0002","1985-07-18","1985-07-30","12","Heavy rain","","","","32.8353","76.9103","1","117441.17","340","","20000","","","","DFO","33"
"UEI-DFO-FL-1985-0003","1985-09-13","1985-10-15","32","Heavy rain","","","","26.4816","82.8434","2","89994.67","557","","152000","","","","DFO","53"
"UEI-DFO-FL-1985-0004","1985-10-18","1985-10-20","2","Tropical cyclone","","","","21.1495","86.7154","2","46758.64","49","","150000","","","","DFO","61"
"UEI-DFO-FL-1986-0001","1986-06-15","1986-08-20","66","Monsoonal rain","","","","25.6339","84.0726","1","507167.44","258","","3040000","","","","DFO","93"
"UEI-DFO-FL-1986-0002","1986-08-15","1986-08-22","7","Monsoonal rain","","","","17.4331","80.187","1","107355.33","150","","3000000","","","","DFO","98"
"UEI-DFO-FL-1986-0003","1986-09-22","1986-10-10","18","Heavy rain","","","","23.6547","89.4296","1","231516.28","49","","700000","","","","DFO","106"
"UEI-DFO-FL-1988-0001","1988-05-23","1988-11-06","167","Monsoonal rain","","","","26.4813","92.0622","1","42285.99","76","","43000","","","","DFO","180"
"UEI-DFO-FL-1988-0002","1988-06-21","1988-07-14","23","Heavy rain","","","","26.988","92.926","1","70501.83","34","","2000000","","","","DFO","190"
"UEI-DFO-FL-1988-0003","1988-04-07","1988-08-08","123","Monsoonal rain","","","","28.886","80.7246","2","847737.26","233","","500000","","","","DFO","196"
"UEI-DFO-FL-1988-0004","1988-07-14","1988-07-27","13","Heavy rain","","","","22.0189","71.1117","1","76352.55","97","","25000","","","","DFO","203"
"UEI-DFO-FL-1988-0005","1988-07-31","1988-02-08","Diffing the dates","Heavy rain","","","","18.4311","80.713","1","94871.79","50","","0","","","","DFO","214"
"UEI-DFO-FL-1988-0006","1988-08-23","1988-09-15","23","Monsoonal rain","","","","26.5037","86.5429","1","626872.46","876","","2000","","","","DFO","228"
"UEI-DFO-FL-1988-0007","1988-09-21","1988-08-10","Diffing the dates","Heavy rain","","","","30.9339","75.0459","2","268528.55","731","","1250000","","","","DFO","253"
"UEI-DFO-FL-1988-0008","1988-03-10","1988-04-10","31","Heavy rain","","","","19.1131","72.8962","1","605.213","23","","0","","","","DFO","255"
"UEI-DFO-FL-1989-0001","1989-07-22","1989-07-31","9","Monsoonal rain","","","","15.1816","76.4736","1","905209.24","780","","0","","","","DFO","330"
"UEI-DFO-FL-1989-0002","1989-05-07","1989-10-08","154","Monsoonal rain","","","","24.8678","92.8291","2","112816.35","31","","32000","","","","DFO","334"
"UEI-DFO-FL-1989-0003","1989-03-09","1989-10-09","214","Heavy rain","","","","26.4375","80.8611","1","204979.38","7","","0","","","","DFO","360"
"UEI-DFO-FL-1990-0001","1990-03-21","1990-03-22","1","Torrential rain","","","","33.8036","76.2592","1","90818.98","17","","0","","","","DFO","401"
